pvog	annotation_processed	annotation_raw
VOG5051	unknown	hypothetical protein
VOG5052	ParB	ParB
VOG5053	gp37	hypothetical protein
VOG5054	unknown	hypothetical protein
VOG5055	unknown	hypothetical protein
VOG5056	unknown	hypothetical protein
VOG5057	unknown	hypothetical protein
VOG5058	unknown	hypothetical protein
VOG5059	unknown	unknown
VOG5060	unknown	hypothetical protein
VOG5061	unknown	hypothetical protein
VOG5062	unknown	gp13
VOG5063	Gp41	Gp41 protein
VOG5064	unknown	unknown
VOG5065	unknown	hypothetical protein
VOG5066	unknown	hypothetical protein
VOG5067	unknown	hypothetical protein
VOG5068	unknown	hypothetical protein
VOG5069	unknown	hypothetical protein
VOG5070	unknown	hypothetical protein
VOG5071	unknown	hypothetical protein
VOG5072	unknown	hypothetical protein
VOG5073	unknown	unknown
VOG5074	unknown	hypothetical protein
VOG5075	gp6	gp6
VOG5076	unknown	hypothetical protein
VOG5077	unknown	hypothetical protein
VOG5078	unknown	hypothetical protein
VOG5079	unknown	hypothetical protein
VOG5080	unknown	hypothetical protein
VOG5081	unknown	hypothetical protein
VOG5082	unknown	hypothetical protein
VOG5083	DarB	DarB
VOG5084	Ant1	Ant1
VOG5085	unknown	hypothetical protein
VOG5086	gp43	gp43
VOG5087	unknown	hypothetical protein
VOG5088	transposase	putative transposase
VOG5089	repressor	putative repressor protein
VOG5090	unknown	hypothetical protein
VOG5091	gp128	gp128
VOG5092	unknown	hypothetical protein
VOG5093	unknown	hypothetical protein
VOG5094	unknown	unknown
VOG5095	gp22	gp22
VOG5096	gp23	gp23
VOG5097	unknown	unknown
VOG5098	scaffolding	putative scaffolding protein
VOG5099	unknown	hypothetical protein
VOG5100	tail fiber	putative tail fiber protein
VOG5101	large terminase	putative large terminase
VOG5102	unknown	hypothetical protein
VOG5103	unknown	hypothetical protein
VOG5104	unknown	hypothetical protein
VOG5105	unknown	hypothetical protein
VOG5106	phage terminase large subunit	phage terminase large subunit
VOG5107	unknown	hypothetical protein
VOG5108	unknown	hypothetical protein
VOG5109	unknown	hypothetical protein
VOG5110	unknown	hypothetical protein
VOG5111	unknown	hypothetical protein
VOG5112	unknown	hypothetical protein
VOG5113	unknown	unknown
VOG5114	unknown	unknown
VOG5115	unknown	unknown
VOG5116	endonuclease	endonuclease
VOG5117	unknown	hypothetical protein
VOG5118	gp50	gp50
VOG5119	unknown	hypothetical protein
VOG5120	unknown	hypothetical protein
VOG5121	thymidylate synthase	putative thymidylate synthase
VOG5122	unknown	hypothetical protein
VOG5123	unknown	hypothetical protein
VOG5124	unknown	hypothetical protein
VOG5125	gp20	gp20
VOG5126	bifunctional DNA primase/polymerase	putative bifunctional DNA primase/polymerase
VOG5127	tail assembly chaperone	tail assembly chaperone
VOG5128	unknown	hypothetical protein
VOG5129	unknown	hypothetical protein
VOG5130	unknown	hypothetical protein
VOG5131	unknown	hypothetical protein
VOG5132	unknown	hypothetical protein
VOG5133	unknown	hypothetical protein
VOG5134	unknown	hypothetical protein
VOG5135	unknown	hypothetical protein
VOG5136	unknown	hypothetical protein
VOG5137	unknown	hypothetical protein
VOG5138	unknown	hypothetical protein
VOG5139	unknown	hypothetical protein
VOG5140	unknown	hypothetical protein
VOG5141	unknown	hypothetical protein
VOG5142	unknown	hypothetical protein
VOG5143	unknown	hypothetical protein
VOG5144	unknown	hypothetical protein
VOG5145	unknown	hypothetical protein
VOG5146	unknown	hypothetical protein
VOG5147	unknown	hypothetical protein
VOG5148	metal-dependent hydrolase	metal-dependent hydrolase
VOG5149	unknown	hypothetical protein
VOG5150	unknown	hypothetical protein
VOG5151	unknown	hypothetical protein
VOG5152	unknown	hypothetical protein
VOG5153	unknown	hypothetical protein
VOG5154	unknown	hypothetical protein
VOG5155	unknown	hypothetical protein
VOG5156	gp4	gp4
VOG5157	unknown	hypothetical protein
VOG5158	unknown	hypothetical protein
VOG5159	unknown	hypothetical protein
VOG5160	unknown	hypothetical protein
VOG5161	unknown	hypothetical protein
VOG5162	Ro	Ro protein
VOG5163	unknown	hypothetical protein
VOG5164	unknown	hypothetical protein
VOG5165	unknown	hypothetical protein
VOG5166	unknown	hypothetical protein
VOG5167	unknown	hypothetical protein
VOG5168	unknown	hypothetical protein
VOG5169	unknown	hypothetical protein
VOG5170	DNA-PolB associated exonuclease	putative DNA-PolB associated exonuclease
VOG5171	unknown	hypothetical protein
VOG5172	unknown	hypothetical protein
VOG5173	tail fiber	putative tail fiber
VOG5174	unknown	hypothetical protein
VOG5175	unknown	hypothetical protein
VOG5176	unknown	hypothetical protein
VOG5177	unknown	hypothetical protein
VOG5178	unknown	unknown
VOG5179	unknown	hypothetical protein
VOG5180	phosphoesterase	phosphoesterase
VOG5181	unknown	hypothetical protein
VOG5182	unknown	hypothetical protein
VOG5183	unknown	hypothetical protein
VOG5184	unknown	hypothetical protein
VOG5185	unknown	hypothetical protein
VOG5186	unknown	hypothetical protein
VOG5187	unknown	hypothetical protein
VOG5188	tapemeasure	tapemeasure
VOG5189	unknown	hypothetical protein
VOG5190	unknown	hypothetical protein
VOG5191	unknown	hypothetical protein
VOG5192	unknown	hypothetical protein
VOG5193	unknown	hypothetical protein
VOG5194	unknown	hypothetical protein
VOG5195	unknown	hypothetical protein
VOG5196	gp200	gp200
VOG5197	unknown	hypothetical protein
VOG5198	unknown	hypothetical protein
VOG5199	unknown	hypothetical protein
VOG5200	unknown	hypothetical protein
VOG5201	unknown	hypothetical protein
VOG5202	unknown	hypothetical protein
VOG5203	HNH endonuclease domain	HNH endonuclease domain protein
VOG5204	unknown	hypothetical protein
VOG5205	unknown	hypothetical protein
VOG5206	unknown	hypothetical protein
VOG5207	unknown	hypothetical protein
VOG5208	unknown	hypothetical protein
VOG5209	unknown	hypothetical protein
VOG5210	unknown	hypothetical protein
VOG5211	structural	structural protein
VOG5212	unknown	hypothetical protein
VOG5213	membrane	membrane protein
VOG5214	structural	structural protein
VOG5215	unknown	hypothetical protein
VOG5216	unknown	hypothetical protein
VOG5217	unknown	hypothetical protein
VOG5218	unknown	hypothetical protein
VOG5219	unknown	hypothetical protein
VOG5220	unknown	hypothetical protein
VOG5221	unknown	hypothetical protein
VOG5222	unknown	hypothetical protein
VOG5223	unknown	hypothetical protein
VOG5224	unknown	hypothetical protein
VOG5225	unknown	hypothetical protein
VOG5226	unknown	hypothetical protein
VOG5227	replicative clamp	replicative clamp
VOG5228	unknown	hypothetical protein
VOG5229	unknown	hypothetical protein
VOG5230	unknown	hypothetical protein
VOG5231	6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase
VOG5232	unknown	hypothetical protein
VOG5233	unknown	hypothetical protein
VOG5234	unknown	hypothetical protein
VOG5235	DNA polymerase III beta subunit	DNA polymerase III beta subunit
VOG5236	unknown	hypothetical protein
VOG5237	unknown	hypothetical protein
VOG5238	unknown	hypothetical protein
VOG5239	restriction endonuclease	restriction endonuclease
VOG5240	unknown	hypothetical protein
VOG5241	unknown	hypothetical protein
VOG5242	unknown	hypothetical protein
VOG5243	unknown	hypothetical protein
VOG5244	unknown	hypothetical protein
VOG5245	unknown	hypothetical protein
VOG5246	unknown	hypothetical protein
VOG5247	unknown	hypothetical protein
VOG5248	unknown	hypothetical protein
VOG5249	TreO	TreO
VOG5250	unknown	hypothetical protein
VOG5251	unknown	hypothetical protein
VOG5252	unknown	hypothetical protein
VOG5253	unknown	hypothetical protein
VOG5254	unknown	hypothetical protein
VOG5255	head stabilization/decoration	putative head stabilization/decoration protein
VOG5256	unknown	hypothetical protein
VOG5257	unknown	hypothetical protein
VOG5258	unknown	hypothetical protein
VOG5259	unknown	hypothetical protein
VOG5260	tail fiber	tail fiber
VOG5261	unknown	hypothetical protein
VOG5262	unknown	hypothetical protein
VOG5263	unknown	hypothetical protein
VOG5264	unknown	hypothetical protein
VOG5265	unknown	pre-tape measure frameshift protein G-T
VOG5266	unknown	hypothetical protein
VOG5267	unknown	hypothetical protein
VOG5268	tail fiber	tail fiber protein
VOG5269	tail fiber	hypothetical protein
VOG5270	unknown	hypothetical protein
VOG5271	unknown	hypothetical protein
VOG5272	unknown	hypothetical protein
VOG5273	unknown	hypothetical protein
VOG5274	unknown	hypothetical protein
VOG5275	unknown	hypothetical protein
VOG5276	unknown	hypothetical protein
VOG5277	unknown	hypothetical protein
VOG5278	unknown	hypothetical protein
VOG5279	Rz1	hypothetical protein
VOG5280	unknown	hypothetical protein
VOG5281	unknown	hypothetical protein
VOG5282	unknown	hypothetical protein
VOG5283	unknown	hypothetical protein
VOG5284	unknown	hypothetical protein
VOG5285	unknown	hypothetical protein
VOG5286	unknown	hypothetical protein
VOG5287	unknown	hypothetical protein
VOG5288	unknown	hypothetical protein
VOG5289	unknown	hypothetical protein
VOG5290	unknown	hypothetical protein
VOG5291	unknown	hypothetical protein
VOG5292	unknown	hypothetical protein
VOG5293	unknown	hypothetical protein
VOG5294	unknown	hypothetical protein
VOG5295	unknown	hypothetical protein
VOG5296	unknown	hypothetical protein
VOG5297	unknown	hypothetical protein
VOG5298	unknown	hypothetical protein
VOG5299	unknown	hypothetical protein
VOG5300	unknown	hypothetical protein
VOG5301	unknown	hypothetical protein
VOG5302	flavodoxin	flavodoxin
VOG5303	unknown	hypothetical protein
VOG5304	unknown	hypothetical protein
VOG5305	DNA methylase	putative DNA methylase
VOG5306	unknown	hypothetical protein
VOG5307	unknown	hypothetical protein
VOG5308	unknown	hypothetical protein
VOG5309	unknown	hypothetical protein
VOG5310	unknown	hypothetical protein
VOG5311	unknown	hypothetical protein
VOG5312	unknown	hypothetical protein
VOG5313	unknown	hypothetical protein
VOG5314	unknown	hypothetical protein
VOG5315	unknown	hypothetical protein
VOG5316	unknown	hypothetical protein
VOG5317	unknown	hypothetical protein
VOG5318	unknown	hypothetical protein
VOG5319	unknown	hypothetical protein
VOG5320	unknown	hypothetical protein
VOG5321	unknown	hypothetical protein
VOG5322	unknown	hypothetical protein
VOG5323	unknown	hypothetical protein
VOG5324	unknown	hypothetical protein
VOG5325	unknown	hypothetical protein
VOG5326	unknown	hypothetical protein
VOG5327	unknown	hypothetical protein
VOG5328	unknown	hypothetical protein
VOG5329	unknown	TreB
VOG5330	unknown	hypothetical protein
VOG5331	unknown	hypothetical protein
VOG5332	peptidase	putative peptidase
VOG5333	unknown	hypothetical protein
VOG5334	unknown	hypothetical protein
VOG5335	methyltransferase	hypothetical protein
VOG5336	unknown	hypothetical protein
VOG5337	unknown	hypothetical protein
VOG5338	unknown	hypothetical protein
VOG5339	unknown	hypothetical protein
VOG5340	unknown	hypothetical protein
VOG5341	unknown	hypothetical protein
VOG5342	unknown	hypothetical protein
VOG5343	unknown	hypothetical protein
VOG5344	unknown	hypothetical protein
VOG5345	holin	holin
VOG5346	unknown	hypothetical protein
VOG5347	unknown	hypothetical protein
VOG5348	unknown	hypothetical protein
VOG5349	unknown	hypothetical protein
VOG5350	unknown	hypothetical protein
VOG5351	unknown	hypothetical protein
VOG5352	unknown	hypothetical protein
VOG5353	unknown	hypothetical protein
VOG5354	unknown	hypothetical protein
VOG5355	unknown	hypothetical protein
VOG5356	unknown	hypothetical protein
VOG5357	unknown	hypothetical protein
VOG5358	unknown	hypothetical protein
VOG5359	unknown	hypothetical protein
VOG5360	unknown	hypothetical protein
VOG5361	unknown	hypothetical protein
VOG5362	unknown	hypothetical protein
VOG5363	unknown	hypothetical protein
VOG5364	unknown	hypothetical protein
VOG5365	unknown	hypothetical protein
VOG5366	unknown	hypothetical protein
VOG5367	unknown	hypothetical protein
VOG5368	unknown	hypothetical protein
VOG5369	unknown	hypothetical protein
VOG5370	unknown	hypothetical protein
VOG5371	unknown	hypothetical protein
VOG5372	neck passage structure	neck passage structure protein
VOG5373	unknown	hypothetical protein
VOG5374	unknown	hypothetical protein
VOG5375	unknown	hypothetical protein
VOG5376	unknown	hypothetical protein
VOG5377	unknown	hypothetical protein
VOG5378	unknown	hypothetical protein
VOG5379	unknown	hypothetical protein
VOG5380	unknown	hypothetical protein
VOG5381	unknown	hypothetical protein
VOG5382	unknown	hypothetical protein
VOG5383	unknown	hypothetical protein
VOG5384	virion structural	virion structural protein
VOG5385	unknown	hypothetical protein
VOG5386	unknown	hypothetical protein
VOG5387	unknown	hypothetical protein
VOG5388	unknown	hypothetical protein
VOG5389	unknown	hypothetical protein
VOG5390	unknown	hypothetical protein
VOG5391	unknown	hypothetical protein
VOG5392	transposase-like	hypothetical protein
VOG5393	unknown	hypothetical protein
VOG5394	unknown	hypothetical protein
VOG5395	unknown	hypothetical protein
VOG5396	unknown	hypothetical protein
VOG5397	unknown	hypothetical protein
VOG5398	unknown	hypothetical protein
VOG5399	unknown	hypothetical protein
VOG5400	unknown	hypothetical protein
VOG5401	unknown	hypothetical protein
VOG5402	unknown	hypothetical protein
VOG5403	unknown	hypothetical protein
VOG5404	unknown	hypothetical protein
VOG5405	unknown	hypothetical protein
VOG5406	unknown	hypothetical protein
VOG5407	unknown	hypothetical protein
VOG5408	unknown	hypothetical protein
VOG5409	unknown	hypothetical protein
VOG5410	unknown	hypothetical protein
VOG5411	unknown	hypothetical protein
VOG5412	unknown	hypothetical protein
VOG5413	unknown	hypothetical protein
VOG5414	unknown	hypothetical protein
VOG5415	unknown	hypothetical protein
VOG5416	unknown	hypothetical protein
VOG5417	unknown	hypothetical protein
VOG5418	unknown	unknown
VOG5419	unknown	hypothetical protein
VOG5420	unknown	hypothetical protein
VOG5421	unknown	hypothetical protein
VOG5422	unknown	hypothetical protein
VOG5423	unknown	hypothetical protein
VOG5424	unknown	hypothetical protein
VOG5425	unknown	hypothetical protein
VOG5426	unknown	hypothetical protein
VOG5427	unknown	hypothetical protein
VOG5428	unknown	hypothetical protein
VOG5429	unknown	hypothetical protein
VOG5430	unknown	hypothetical protein
VOG5431	unknown	hypothetical protein
VOG5432	unknown	hypothetical protein
VOG5433	unknown	hypothetical protein
VOG5434	unknown	hypothetical protein
VOG5435	outer membrane	putative outer membrane protein
VOG5436	unknown	hypothetical protein
VOG5437	unknown	hypothetical protein
VOG5438	unknown	hypothetical protein
VOG5439	unknown	hypothetical protein
VOG5440	unknown	hypothetical protein
VOG5441	colanic acid-degrading	putative fusion protein
VOG5442	unknown	hypothetical protein
VOG5443	Kil	Kil protein
VOG5444	unknown	hypothetical protein
VOG5445	unknown	hypothetical protein
VOG5446	unknown	hypothetical protein
VOG5447	RNA polymerase sigma 24	positive control sigma-like factor
VOG5448	peptidyl-tRNA hydrolase	putative peptidyl-tRNA hydrolase
VOG5449	unknown	hypothetical protein
VOG5450	unknown	hypothetical protein
VOG5451	unknown	hypothetical protein
VOG5452	unknown	hypothetical protein
VOG5453	unknown	hypothetical protein
VOG5454	unknown	hypothetical protein
VOG5455	unknown	hypothetical protein
VOG5456	TreA	TreA
VOG5457	unknown	hypothetical protein
VOG5458	unknown	hypothetical protein
VOG5459	unknown	hypothetical protein
VOG5460	unknown	hypothetical protein
VOG5461	unknown	hypothetical protein
VOG5462	unknown	hypothetical protein
VOG5463	unknown	hypothetical protein
VOG5464	unknown	hypothetical protein
VOG5465	unknown	hypothetical protein
VOG5466	unknown	hypothetical protein
VOG5467	unknown	hypothetical protein
VOG5468	unknown	hypothetical protein
VOG5469	unknown	hypothetical protein
VOG5470	unknown	hypothetical protein
VOG5471	unknown	hypothetical protein
VOG5472	unknown	hypothetical protein
VOG5473	unknown	hypothetical protein
VOG5474	unknown	hypothetical protein
VOG5475	unknown	hypothetical protein
VOG5476	unknown	hypothetical protein
VOG5477	holin	holin
VOG5478	head-tail adaptor	head-tail adaptor
VOG5479	unknown	hypothetical protein
VOG5480	unknown	hypothetical protein
VOG5481	NAD-dependent DNA ligase subunit B	NAD-dependent DNA ligase subunit B
VOG5482	unknown	hypothetical protein
VOG5483	unknown	hypothetical protein
VOG5484	unknown	hypothetical protein
VOG5485	unknown	hypothetical protein
VOG5486	unknown	hypothetical protein
VOG5487	unknown	hypothetical protein
VOG5488	unknown	hypothetical protein
VOG5489	unknown	hypothetical protein
VOG5490	unknown	hypothetical protein
VOG5491	unknown	hypothetical protein
VOG5492	unknown	hypothetical protein
VOG5493	unknown	hypothetical protein
VOG5494	unknown	hypothetical protein
VOG5495	unknown	hypothetical protein
VOG5496	unknown	hypothetical protein
VOG5497	unknown	hypothetical protein
VOG5498	unknown	hypothetical protein
VOG5499	unknown	hypothetical protein
VOG5500	unknown	hypothetical protein
VOG5501	unknown	hypothetical protein
VOG5502	unknown	hypothetical protein
VOG5503	unknown	hypothetical protein
VOG5504	unknown	hypothetical protein
VOG5505	unknown	hypothetical protein
VOG5506	unknown	hypothetical protein
VOG5507	unknown	hypothetical protein
VOG5508	unknown	hypothetical protein
VOG5509	unknown	hypothetical protein
VOG5510	unknown	hypothetical protein
VOG5511	tail fiber	tail fiber protein
VOG5512	TreG	TreG
VOG5513	unknown	hypothetical protein
VOG5514	unknown	hypothetical protein
VOG5515	unknown	hypothetical protein
VOG5516	unknown	hypothetical protein
VOG5517	unknown	hypothetical protein
VOG5518	unknown	hypothetical protein
VOG5519	unknown	hypothetical protein
VOG5520	pre-TMP frameshift	pre-TMP frameshift protein
VOG5521	unknown	hypothetical protein
VOG5522	unknown	hypothetical protein
VOG5523	unknown	hypothetical protein
VOG5524	unknown	hypothetical protein
VOG5525	unknown	hypothetical protein
VOG5526	unknown	hypothetical protein
VOG5527	unknown	hypothetical protein
VOG5528	unknown	hypothetical protein
VOG5529	unknown	hypothetical protein
VOG5530	unknown	hypothetical protein
VOG5531	unknown	hypothetical protein
VOG5532	unknown	hypothetical protein
VOG5533	unknown	hypothetical protein
VOG5534	unknown	hypothetical protein
VOG5535	unknown	hypothetical protein
VOG5536	unknown	hypothetical protein
VOG5537	unknown	hypothetical protein
VOG5538	unknown	hypothetical protein
VOG5539	unknown	hypothetical protein
VOG5540	unknown	hypothetical protein
VOG5541	unknown	hypothetical protein
VOG5542	unknown	hypothetical protein
VOG5543	unknown	hypothetical protein
VOG5544	unknown	hypothetical protein
VOG5545	unknown	hypothetical protein
VOG5546	unknown	hypothetical protein
VOG5547	unknown	hypothetical protein
VOG5548	unknown	hypothetical protein
VOG5549	unknown	hypothetical protein
VOG5550	unknown	hypothetical protein
VOG5551	RNAse H	RNAse H
VOG5552	unknown	hypothetical protein
VOG5553	unknown	hypothetical protein
VOG5554	unknown	hypothetical protein
VOG5555	unknown	hypothetical protein
VOG5556	unknown	pre-tape measure frameshift protein G-T
VOG5557	unknown	hypothetical protein
VOG5558	unknown	hypothetical protein
VOG5559	unknown	hypothetical protein
VOG5560	unknown	hypothetical protein
VOG5561	unknown	hypothetical protein
VOG5562	unknown	hypothetical protein
VOG5563	unknown	hypothetical protein
VOG5564	unknown	hypothetical protein
VOG5565	unknown	hypothetical protein
VOG5566	phage tail	putative phage tail protein
VOG5567	unknown	hypothetical protein
VOG5568	unknown	hypothetical protein
VOG5569	unknown	hypothetical protein
VOG5570	unknown	hypothetical protein
VOG5571	unknown	hypothetical protein
VOG5572	unknown	hypothetical protein
VOG5573	terminase small subunit	putative terminase small subunit
VOG5574	unknown	hypothetical protein
VOG5575	structural	putative structural protein
VOG5576	unknown	hypothetical protein
VOG5577	holin	putative holin
VOG5578	unknown	hypothetical protein
VOG5579	unknown	hypothetical protein
VOG5580	unknown	hypothetical protein
VOG5581	constituent	constituent protein
VOG5582	unknown	hypothetical protein
VOG5583	unknown	hypothetical protein
VOG5584	major capsid & capsid maturation protease	major capsid & capsid maturation protease
VOG5585	head-to-tail connector	head-to-tail connector
VOG5586	unknown	hypothetical protein
VOG5587	major tail	major tail protein
VOG5588	unknown	hypothetical protein
VOG5589	minor tail	minor tail protein
VOG5590	major coat	major coat protein
VOG5591	unknown	hypothetical protein
VOG5592	unknown	hypothetical protein
VOG5593	gp23	gp23
VOG5594	unknown	hypothetical protein
VOG5595	DNA primase/polymerase	putative DNA primase/polymerase
VOG5596	unknown	hypothetical protein
VOG5597	unknown	hypothetical protein
VOG5598	unknown	hypothetical protein
VOG5599	unknown	hypothetical protein
VOG5600	unknown	hypothetical protein
VOG5601	unknown	hypothetical protein
VOG5602	unknown	hypothetical protein
VOG5603	unknown	hypothetical protein
VOG5604	portal	portal protein
VOG5605	unknown	hypothetical protein
VOG5606	unknown	hypothetical protein
VOG5607	unknown	hypothetical protein
VOG5608	unknown	hypothetical protein
VOG5609	unknown	hypothetical protein
VOG5610	unknown	hypothetical protein
VOG5611	unknown	hypothetical protein
VOG5612	unknown	hypothetical protein
VOG5613	unknown	unknown
VOG5614	unknown	hypothetical protein
VOG5615	unknown	hypothetical protein
VOG5616	unknown	hypothetical protein
VOG5617	recombination  U	recombination protein U
VOG5618	unknown	hypothetical protein
VOG5619	unknown	hypothetical protein
VOG5620	unknown	hypothetical protein
VOG5621	unknown	hypothetical protein
VOG5622	unknown	hypothetical protein
VOG5623	unknown	hypothetical protein
VOG5624	unknown	hypothetical protein
VOG5625	unknown	hypothetical protein
VOG5626	unknown	hypothetical protein
VOG5627	unknown	hypothetical protein
VOG5628	unknown	hypothetical protein
VOG5629	unknown	hypothetical protein
VOG5630	unknown	hypothetical protein
VOG5631	unknown	hypothetical protein
VOG5632	unknown	unknown
VOG5633	unknown	hypothetical protein
VOG5634	unknown	hypothetical protein
VOG5635	unknown	hypothetical protein
VOG5636	unknown	hypothetical protein
VOG5637	unknown	hypothetical protein
VOG5638	unknown	hypothetical protein
VOG5639	unknown	hypothetical protein
VOG5640	unknown	hypothetical protein
VOG5641	unknown	hypothetical protein
VOG5642	unknown	hypothetical protein
VOG5643	unknown	hypothetical protein
VOG5644	unknown	hypothetical protein
VOG5645	unknown	hypothetical protein
VOG5646	unknown	hypothetical protein
VOG5647	unknown	hypothetical protein
VOG5648	unknown	hypothetical protein
VOG5649	unknown	hypothetical protein
VOG5650	unknown	hypothetical protein
VOG5651	unknown	hypothetical protein
VOG5652	unknown	hypothetical protein
VOG5653	unknown	hypothetical protein
VOG5654	unknown	hypothetical protein
VOG5655	unknown	hypothetical protein
VOG5656	topoisomerase II large subunit	topoisomerase II large subunit
VOG5657	beta glucosyl transferase	beta glucosyl transferase
VOG5658	unknown	hypothetical protein
VOG5659	unknown	hypothetical protein
VOG5660	unknown	hypothetical protein
VOG5661	structural	structural protein
VOG5662	unknown	hypothetical protein
VOG5663	unknown	hypothetical protein
VOG5664	unknown	hypothetical protein
VOG5665	unknown	hypothetical protein
VOG5666	unknown	hypothetical protein
VOG5667	unknown	hypothetical protein
VOG5668	unknown	hypothetical protein
VOG5669	unknown	hypothetical protein
VOG5670	unknown	hypothetical protein
VOG5671	unknown	hypothetical protein
VOG5672	unknown	hypothetical protein
VOG5673	unknown	hypothetical protein
VOG5674	unknown	hypothetical protein
VOG5675	unknown	hypothetical protein
VOG5676	unknown	hypothetical protein
VOG5677	unknown	hypothetical protein
VOG5678	unknown	hypothetical protein
VOG5679	unknown	hypothetical protein
VOG5680	VI	VI protein
VOG5681	unknown	hypothetical protein
VOG5682	unknown	hypothetical protein
VOG5683	unknown	hypothetical protein
VOG5684	unknown	hypothetical protein
VOG5685	unknown	hypothetical protein
VOG5686	unknown	hypothetical protein
VOG5687	HTH DNA binding domain	HTH DNA binding domain protein
VOG5688	unknown	hypothetical protein
VOG5689	unknown	hypothetical protein
VOG5690	unknown	hypothetical protein
VOG5691	unknown	hypothetical protein
VOG5692	unknown	hypothetical protein
VOG5693	unknown	hypothetical protein
VOG5694	unknown	hypothetical protein
VOG5695	unknown	hypothetical protein
VOG5696	unknown	hypothetical protein
VOG5697	unknown	hypothetical protein
VOG5698	DNA N6-adenine methyltransferase	putative DNA N6-adenine methyltransferase
VOG5699	unknown	hypothetical protein
VOG5700	gp18	gp18
VOG5701	unknown	hypothetical protein
VOG5702	unknown	hypothetical protein
VOG5703	unknown	hypothetical protein
VOG5704	unknown	hypothetical protein
VOG5705	unknown	unknown
VOG5706	unknown	hypothetical protein
VOG5707	unknown	rare lipoprotein A
VOG5708	unknown	hypothetical protein
VOG5709	unknown	hypothetical protein
VOG5710	unknown	hypothetical protein
VOG5711	unknown	hypothetical protein
VOG5712	unknown	hypothetical protein
VOG5713	unknown	hypothetical protein
VOG5714	unknown	hypothetical protein
VOG5715	unknown	hypothetical protein
VOG5716	unknown	hypothetical protein
VOG5717	unknown	hypothetical protein
VOG5718	unknown	hypothetical protein
VOG5719	unknown	hypothetical protein
VOG5720	unknown	hypothetical protein
VOG5721	unknown	hypothetical protein
VOG5722	unknown	hypothetical protein
VOG5723	unknown	hypothetical protein
VOG5724	unknown	hypothetical protein
VOG5725	unknown	hypothetical protein
VOG5726	unknown	hypothetical protein
VOG5727	unknown	hypothetical protein
VOG5728	unknown	hypothetical protein
VOG5729	unknown	hypothetical protein
VOG5730	unknown	hypothetical protein
VOG5731	unknown	hypothetical protein
VOG5732	unknown	hypothetical protein
VOG5733	unknown	hypothetical protein
VOG5734	unknown	hypothetical protein
VOG5735	unknown	hypothetical protein
VOG5736	unknown	hypothetical protein
VOG5737	unknown	hypothetical protein
VOG5738	unknown	hypothetical protein
VOG5739	unknown	hypothetical protein
VOG5740	unknown	hypothetical protein
VOG5741	unknown	hypothetical protein
VOG5742	regulatory	putative regulatory protein
VOG5743	unknown	hypothetical protein
VOG5744	unknown	hypothetical protein
VOG5745	unknown	hypothetical protein
VOG5746	unknown	hypothetical protein
VOG5747	unknown	hypothetical protein
VOG5748	unknown	hypothetical protein
VOG5749	unknown	hypothetical protein
VOG5750	unknown	hypothetical protein
VOG5751	DNA primase	DNA primase
VOG5752	unknown	hypothetical protein
VOG5753	unknown	hypothetical protein
VOG5754	unknown	hypothetical protein
VOG5755	unknown	hypothetical protein
VOG5756	unknown	hypothetical protein
VOG5757	unknown	hypothetical protein
VOG5758	unknown	hypothetical protein
VOG5759	unknown	hypothetical protein
VOG5760	unknown	hypothetical protein
VOG5761	unknown	unknown
VOG5762	unknown	hypothetical protein
VOG5763	unknown	hypothetical protein
VOG5764	unknown	hypothetical protein
VOG5765	unknown	hypothetical protein
VOG5766	unknown	hypothetical protein
VOG5767	unknown	hypothetical protein
VOG5768	unknown	hypothetical protein
VOG5769	structural	structural protein
VOG5770	unknown	hypothetical protein
VOG5771	unknown	hypothetical protein
VOG5772	unknown	hypothetical protein
VOG5773	unknown	hypothetical protein
VOG5774	unknown	hypothetical protein
VOG5775	AAA ATPase	AAA ATPase
VOG5776	unknown	hypothetical protein
VOG5777	unknown	hypothetical protein
VOG5778	unknown	hypothetical protein
VOG5779	unknown	hypothetical protein
VOG5780	unknown	hypothetical protein
VOG5781	pectate lyase	pectate lyase
VOG5782	exonuclease	exonuclease
VOG5783	unknown	hypothetical protein
VOG5784	unknown	hypothetical protein
VOG5785	unknown	hypothetical protein
VOG5786	structural	structural protein
VOG5787	unknown	hypothetical protein
VOG5788	unknown	hypothetical protein
VOG5789	unknown	hypothetical protein
VOG5790	unknown	hypothetical protein
VOG5791	unknown	hypothetical protein
VOG5792	unknown	hypothetical protein
VOG5793	tapemeasure	tapemeasure
VOG5794	gp26	gp26
VOG5795	unknown	hypothetical protein
VOG5796	unknown	hypothetical protein
VOG5797	unknown	hypothetical protein
VOG5798	unknown	hypothetical protein
VOG5799	unknown	hypothetical protein
VOG5800	unknown	hypothetical protein
VOG5801	unknown	hypothetical protein
VOG5802	unknown	hypothetical protein
VOG5803	unknown	hypothetical protein
VOG5804	unknown	hypothetical protein
VOG5805	unknown	hypothetical protein
VOG5806	unknown	hypothetical protein
VOG5807	unknown	hypothetical protein
VOG5808	unknown	hypothetical protein
VOG5809	unknown	hypothetical protein
VOG5810	unknown	hypothetical protein
VOG5811	unknown	hypothetical protein
VOG5812	unknown	hypothetical protein
VOG5813	unknown	hypothetical protein
VOG5814	unknown	hypothetical protein
VOG5815	unknown	hypothetical protein
