pvog	annotation_processed	annotation_raw
VOG8125	unknown	hypothetical protein
VOG8126	unknown	hypothetical protein
VOG8127	unknown	hypothetical protein
VOG8128	unknown	hypothetical protein
VOG8129	unknown	hypothetical protein
VOG8130	unknown	hypothetical protein
VOG8131	unknown	hypothetical protein
VOG8132	unknown	hypothetical protein
VOG8133	unknown	hypothetical protein
VOG8134	tail fiber  1	putative tail fiber protein 1
VOG8135	unknown	hypothetical protein
VOG8136	unknown	hypothetical protein
VOG8137	unknown	hypothetical protein
VOG8138	major capsid	major capsid protein
VOG8139	unknown	hypothetical protein
VOG8140	unknown	hypothetical protein
VOG8141	unknown	hypothetical protein
VOG8142	unknown	hypothetical protein
VOG8143	unknown	hypothetical protein
VOG8144	unknown	hypothetical protein
VOG8145	unknown	hypothetical protein
VOG8146	unknown	hypothetical protein
VOG8147	unknown	hypothetical protein
VOG8148	unknown	hypothetical protein
VOG8149	unknown	hypothetical protein
VOG8150	unknown	hypothetical protein
VOG8151	unknown	hypothetical protein
VOG8152	unknown	hypothetical protein
VOG8153	unknown	hypothetical protein
VOG8154	unknown	hypothetical protein
VOG8155	unknown	hypothetical protein
VOG8156	unknown	hypothetical protein
VOG8157	unknown	hypothetical protein
VOG8158	unknown	hypothetical protein
VOG8159	unknown	hypothetical protein
VOG8160	unknown	hypothetical protein
VOG8161	unknown	hypothetical protein
VOG8162	unknown	hypothetical protein
VOG8163	VRR-NUC domain containing	VRR-NUC domain containing protein
VOG8164	unknown	hypothetical protein
VOG8165	DNA methylase	DNA methylase
VOG8166	glycosyltransferase	putative glycosyltransferase
VOG8167	unknown	hypothetical protein
VOG8168	unknown	hypothetical protein
VOG8169	head-tail connector	head-tail connector protein
VOG8170	unknown	hypothetical protein
VOG8171	tail length tape measure	putative tail length tape measure protein
VOG8172	structural	structural protein
VOG8173	structural	structural protein
VOG8174	unknown	hypothetical protein
VOG8175	unknown	hypothetical protein
VOG8176	unknown	hypothetical protein
VOG8177	unknown	hypothetical protein
VOG8178	unknown	hypothetical protein
VOG8179	unknown	hypothetical protein
VOG8180	unknown	hypothetical protein
VOG8181	unknown	hypothetical protein
VOG8182	unknown	hypothetical protein
VOG8183	unknown	hypothetical protein
VOG8184	unknown	hypothetical protein
VOG8185	unknown	hypothetical protein
VOG8186	unknown	hypothetical protein
VOG8187	head outer capsid	head outer capsid protein
VOG8188	unknown	hypothetical protein
VOG8189	unknown	hypothetical protein
VOG8190	unknown	hypothetical protein
VOG8191	unknown	hypothetical protein
VOG8192	unknown	hypothetical protein
VOG8193	unknown	hypothetical protein
VOG8194	unknown	hypothetical protein
VOG8195	unknown	hypothetical protein
VOG8196	unknown	hypothetical protein
VOG8197	unknown	hypothetical protein
VOG8198	unknown	hypothetical protein
VOG8199	unknown	hypothetical protein
VOG8200	unknown	hypothetical protein
VOG8201	unknown	hypothetical protein
VOG8202	unknown	hypothetical protein
VOG8203	unknown	hypothetical protein
VOG8204	unknown	hypothetical protein
VOG8205	unknown	hypothetical protein
VOG8206	unknown	hypothetical protein
VOG8207	unknown	hypothetical protein
VOG8208	unknown	hypothetical protein
VOG8209	unknown	hypothetical protein
VOG8210	unknown	unknown
VOG8211	unknown	hypothetical protein
VOG8212	unknown	hypothetical protein
VOG8213	unknown	hypothetical protein
VOG8214	unknown	hypothetical protein
VOG8215	gp165	gp165
VOG8216	base plate lysozyme	base plate lysozyme
VOG8217	unknown	hypothetical protein
VOG8218	integrase	integrase
VOG8219	unknown	hypothetical protein
VOG8220	unknown	hypothetical protein
VOG8221	unknown	hypothetical protein
VOG8222	unknown	hypothetical protein
VOG8223	tail fiber	putative tail fiber protein
VOG8224	unknown	hypothetical protein
VOG8225	unknown	hypothetical protein
VOG8226	terminase small subunit	terminase small subunit
VOG8227	unknown	hypothetical protein
VOG8228	unknown	hypothetical protein
VOG8229	unknown	hypothetical protein
VOG8230	unknown	hypothetical protein
VOG8231	unknown	hypothetical protein
VOG8232	unknown	hypothetical protein
VOG8233	unknown	hypothetical protein
VOG8234	unknown	hypothetical protein
VOG8235	unknown	hypothetical protein
VOG8236	unknown	hypothetical protein
VOG8237	Ref	Ref
VOG8238	unknown	hypothetical protein
VOG8239	unknown	hypothetical protein
VOG8240	unknown	hypothetical protein
VOG8241	unknown	hypothetical protein
VOG8242	tail	putative tail protein
VOG8243	unknown	hypothetical protein
VOG8244	site specific recombinase, tyrosine	site specific recombinase, tyrosine
VOG8245	unknown	hypothetical protein
VOG8246	unknown	hypothetical protein
VOG8247	unknown	hypothetical protein
VOG8248	unknown	hypothetical protein
VOG8249	unknown	unknown
VOG8250	unknown	hypothetical protein
VOG8251	unknown	hypothetical protein
VOG8252	unknown	hypothetical protein
VOG8253	unknown	hypothetical protein
VOG8254	unknown	hypothetical protein
VOG8255	unknown	hypothetical protein
VOG8256	unknown	hypothetical protein
VOG8257	RNA polymerase sigma factor	RNA polymerase sigma factor
VOG8258	unknown	hypothetical protein
VOG8259	unknown	unknown
VOG8260	unknown	hypothetical protein
VOG8261	unknown	hypothetical protein
VOG8262	phage tail	phage tail protein
VOG8263	unknown	hypothetical protein
VOG8264	unknown	hypothetical protein
VOG8265	unknown	hypothetical protein
VOG8266	unknown	hypothetical protein
VOG8267	unknown	hypothetical protein
VOG8268	unknown	hypothetical protein
VOG8269	unknown	hypothetical protein
VOG8270	unknown	hypothetical protein
VOG8271	unknown	hypothetical protein
VOG8272	unknown	hypothetical protein
VOG8273	unknown	hypothetical protein
VOG8274	unknown	hypothetical protein
VOG8275	unknown	hypothetical protein
VOG8276	unknown	hypothetical protein
VOG8277	unknown	hypothetical protein
VOG8278	unknown	hypothetical protein
VOG8279	unknown	hypothetical protein
VOG8280	unknown	unknown
VOG8281	unknown	hypothetical protein
VOG8282	unknown	hypothetical protein
VOG8283	unknown	hypothetical protein
VOG8284	unknown	hypothetical protein
VOG8285	unknown	hypothetical protein
VOG8286	unknown	hypothetical protein
VOG8287	unknown	hypothetical protein
VOG8288	unknown	hypothetical protein
VOG8289	unknown	hypothetical protein
